Mix ID,Name,Description,Cement,Fly Ash,Slag,Water,HRWR,Fine Aggregate,Time,GWP,Strength (Mean),Strength (Std),# of measurements
Jan_2023_0,,,265,35,200,105,5,1375,1,118,5000,85,3
Jan_2023_0,,,265,35,200,105,5,1375,3,118,7518,305,3
Jan_2023_0,,,265,35,200,105,5,1375,5,118,7318,262,3
Jan_2023_0,,,265,35,200,105,5,1375,28,118,10290,1110,3
Jan_2023_1,,,161,165,174,119,3,1375,1,76,3440,131,3
Jan_2023_1,,,161,165,174,119,3,1375,3,76,5583,791,3
Jan_2023_1,,,161,165,174,119,3,1375,5,76,4897,528,3
Jan_2023_1,,,161,165,174,119,3,1375,28,76,6222,841,3
Jan_2023_2,,,258,134,108,224,0,1375,1,113,1506,142,3
Jan_2023_2,,,258,134,108,224,0,1375,3,113,2918,65,3
Jan_2023_2,,,258,134,108,224,0,1375,5,113,3637,257,3
Jan_2023_2,,,258,134,108,224,0,1375,28,113,6276,655,3
Jan_2023_3,,,159,161,180,131,0,1375,1,74,3114,206,3
Jan_2023_3,,,159,161,180,131,0,1375,3,74,4555,400,3
Jan_2023_3,,,159,161,180,131,0,1375,5,74,4308,313,3
Jan_2023_3,,,159,161,180,131,0,1375,28,74,4433,462,3
Jan_2023_4,,,238,166,96,175,0,1375,1,105,2905,320,3
Jan_2023_4,,,238,166,96,175,0,1375,3,105,4313,375,3
Jan_2023_4,,,238,166,96,175,0,1375,5,105,4428,68,3
Jan_2023_4,,,238,166,96,175,0,1375,28,105,7243,1293,3
Jan_2023_5,,,341,119,40,116,3,1375,1,148,6279,701,3
Jan_2023_5,,,341,119,40,116,3,1375,3,148,7302,485,3
Jan_2023_5,,,341,119,40,116,3,1375,5,148,7368,856,3
Jan_2023_5,,,341,119,40,116,3,1375,28,148,9029,816,3
Jan_2023_6,,,327,25,148,192,0,1375,1,141,3411,174,3
Jan_2023_6,,,327,25,148,192,0,1375,3,141,5008,331,3
Jan_2023_6,,,327,25,148,192,0,1375,5,141,5308,189,3
Jan_2023_6,,,327,25,148,192,0,1375,28,141,6647,412,3
Jan_2023_7,,,239,39,222,238,0,1375,1,106,1659,60,3
Jan_2023_7,,,239,39,222,238,0,1375,3,106,2893,183,3
Jan_2023_7,,,239,39,222,238,0,1375,5,106,3723,224,3
Jan_2023_7,,,239,39,222,238,0,1375,28,106,5786,418,3
Jan_2023_8,,,199,123,178,139,1,1375,1,90,3532,161,3
Jan_2023_8,,,199,123,178,139,1,1375,3,90,5198,235,3
Jan_2023_8,,,199,123,178,139,1,1375,5,90,5568,149,3
Jan_2023_8,,,199,123,178,139,1,1375,28,90,8685,403,3
